month_number,representative_month,active_loans,total_principal_outstanding,avg_on_time_rate,median_on_time_rate,pct_delinquent,pct_high_risk,deteriorating_count,deteriorating_pct
1,2023-01,183596,14956265238,0.982,1.0,0.018,0.018,0,0.0
2,2023-02,183330,14934367738,0.9518,1.0,0.0865,0.0865,12669,0.0691
3,2023-03,170919,13923377134,0.9466,1.0,0.1211,0.0391,16085,0.0941
4,2023-04,90423,7366969375,0.9733,1.0,0.0757,0.031,4907,0.0543
5,2023-05,11599,945357237,0.9933,1.0,0.0239,0.0,189,0.0163
6,2023-06,226,18628255,0.9971,1.0,0.0088,0.0,2,0.0088
7,2023-07,3,228544,1.0,1.0,0.0,0.0,0,0.0
